,OID_,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,PLST
123211,123212,12240604732130031440,12,0,54,0,2024,6,12,3,2,5,2,0,0,1,0,0,0,0,1,"777313,647599999792874","5811449,029400000348687",13.075229222000075,52.38294095300006,1
123224,123225,12240602732108023830,12,0,54,0,2024,6,8,1,3,0,1,0,0,1,0,0,0,0,0,"773933,989400000311434","5811704,679199999198318",13.025906619000068,52.38693370900006,1
123241,123242,12240531732111020640,12,0,54,0,2024,5,5,6,3,4,6,0,0,1,0,0,0,0,0,"776167,827600000426173","5812661,818099999800324",13.059436159000029,52.394395684000074,1
123308,123309,12240524732103077970,12,0,54,0,2024,5,11,6,3,3,3,0,0,1,1,0,0,0,0,"772046,153500000014901","5816029,884299999102950",13.00174970200004,52.42666462400007,1
123322,123323,12240523732112005030,12,0,54,0,2024,5,21,5,3,3,2,1,0,1,1,0,0,0,0,"777843,350100000388920","5810924,065700000151992",13.082557036000026,52.377964990000066,1
123397,123398,12240516732130990750,12,0,54,0,2024,5,18,5,3,6,6,0,0,1,0,1,0,0,0,"776989,195500000379980","5811848,353399999439716",13.070804257000077,52.38668606400006,1
123462,123463,12240512732112980960,12,0,54,0,2024,5,22,1,3,0,1,2,0,1,0,0,0,0,0,"776507,654299999587238","5812272,826199999079108",13.064096730000074,52.39073586400008,1
123487,123488,12240510732108020540,12,0,54,0,2024,5,13,6,3,6,4,0,0,1,0,1,0,0,0,"774161,162600000388920","5811982,147600000724196",13.029463289000034,52.38930844600003,1
123558,123559,12240503732107963140,12,0,54,0,2024,5,18,6,3,4,2,0,0,1,1,0,0,0,0,"774844,957999999634922","5812673,707800000905991",13.040053426000043,52.39516772300004,1
123671,123672,12240425732108943330,12,0,54,0,2024,4,18,5,3,5,3,0,0,1,1,0,0,0,0,"774218,302000000141561","5812049,424799999222159",13.030355880000059,52.38988319600003,1
123725,123726,12240606732109036300,12,0,54,0,2024,6,15,5,3,5,2,0,0,1,1,0,0,0,0,"775409,256699999794364","5812807,926400000229478",13.048436150000043,52.39608792300004,1
123873,123874,12240407732100906080,12,0,54,0,2024,4,14,1,3,3,2,0,0,1,0,0,0,0,0,"776863,068199999630451","5813637,516200000420213",13.070434052000053,52.402794423000046,1
123885,123886,12240406732109904440,12,0,54,0,2024,4,15,7,3,0,1,0,0,1,0,0,0,0,0,"776531,778599999845028","5812272,002900000661612",13.064449661000026,52.39071630300003,1
123972,123973,12240430732111954070,12,0,54,0,2024,4,17,3,3,4,6,0,0,1,0,0,0,0,0,"776243,048799999989569","5812641,020199999213219",13.060521688000051,52.39417124200003,1
123975,123976,12240329732107889020,12,0,54,0,2024,3,11,6,3,5,3,0,0,1,1,0,0,0,0,"775057,879399999976158","5812881,363800000399351",13.043345265000028,52.39692308600007,1
123993,123994,12240328732110887440,12,0,54,0,2024,3,13,5,3,5,2,0,0,1,1,0,0,0,0,"775337,747899999842048","5813442,417899999767542",13.047909355000058,52.401813935000064,1
123994,123995,12240328732100887060,12,0,54,0,2024,3,9,5,3,5,2,0,0,1,1,0,0,0,0,"777846,756099999882281","5810920,933499999344349",13.082604350000054,52.37793517500006,1
124050,124051,12240321732107875030,12,0,54,0,2024,3,15,5,3,3,2,0,0,1,1,0,0,0,0,"774450,431200000457466","5812278,641100000590086",13.033946161000074,52.39182257700003,1
124081,124082,12240318732109865130,12,0,54,0,2024,3,13,2,3,5,2,0,0,1,0,0,0,0,1,"775062,075699999928474","5812885,974300000816584",13.04341056900006,52.39696232500006,1
124107,124108,12240315732107864110,12,0,54,0,2024,3,16,6,2,0,7,0,0,1,0,1,0,0,0,"774957,129999999888241","5812782,576799999922514",13.04178717800005,52.39608775700003,1
